Territorialidades|Média de anos de estudo 2017|IDHM Educação 2017|IDHM Longevidade 2017|IDHM Renda 2017|IDHM 2017|
Brasil|8,22|0,74|0,85|0,75|0,778|
Acre|7,09|0,68|0,82|0,66|0,719|
Alagoas|6,38|0,64|0,78|0,64|0,683|
Amapá|8,7|0,71|0,82|0,7|0,74|
Amazonas|8,5|0,74|0,79|0,68|0,733|
Bahia|7,04|0,65|0,81|0,69|0,714|
Ceará|7,06|0,72|0,82|0,68|0,735|
Distrito Federal|10,33|0,8|0,89|0,86|0,85|
Espírito Santo|8,29|0,73|0,85|0,74|0,772|
Goiás|8,11|0,74|0,82|0,75|0,769|
Maranhão|6,51|0,68|0,76|0,62|0,687|
Mato Grosso do Sul|8,11|0,71|0,85|0,75|0,766|
Mato Grosso|7,93|0,76|0,83|0,74|0,774|
Minas Gerais|7,97|0,75|0,88|0,74|0,787|
Paraíba|6,85|0,67|0,81|0,69|0,722|
Paraná|8,22|0,76|0,84|0,77|0,792|
Pará|7,32|0,66|0,79|0,65|0,698|
Pernambuco|7,32|0,69|0,82|0,68|0,727|
Piauí|6,56|0,67|0,77|0,66|0,697|
Rio de Janeiro|9,28|0,76|0,86|0,77|0,796|
Rio Grande do Norte|7,24|0,68|0,85|0,68|0,731|
Rio Grande do Sul|8,52|0,73|0,85|0,79|0,787|
Rondônia|7,26|0,7|0,78|0,7|0,725|
Roraima|8,96|0,77|0,78|0,71|0,752|
Santa Catarina|8,6|0,78|0,87|0,78|0,808|
São Paulo|9,32|0,83|0,85|0,8|0,826|
Sergipe|7,06|0,64|0,8|0,68|0,702|
Tocantins|7,69|0,73|0,81|0,7|0,743|
